lat;long;place_id;place_name;place_website;place_rating;review_mean;review_std;checkins;users;place_website_4q;group_id;group_followers_count;world_rank;country_rank;link_numbers;distance_metro;district;rating
55.7238409;37.630823;ChIJ0XOafxdLtUYRZ-dEQOfLK4A;Гинекологическая Больница № 11;http://gb11.ru/;3.5;0.3333333333333333;0.4714045207910317;494.0;222.0;http://www.gb11.ru;;;;;;701.9616786035516;Россия, Москва, Центральный административный округ, район Замоскворечье;111
55.638921999999994;37.340074;ChIJA9jHpYBRtUYRxes8fzChWRg;Медиарт;http://medi-art.ru/;4.6;0.0;0.0;70.0;43.0;http://www.medi-art.ru;72389486.0;680.0;2506087.0;179083.0;30.0;9469.682132922935;Россия, Москва, Западный административный округ, район Ново-Переделкино, 13-й микрорайон Солнцева;
55.581803;37.5838041;ChIJc8QhKpKtSkERWuEsJm5CuBc;Филиал наркологической клинической больницы № 17;http://12steps.su/;4.6;;;;;;;;5218745.0;585610.0;21.0;723.0664400316468;Россия, Москва, Южный административный округ, район Чертаново Южное;63
55.659299;37.74641189999999;ChIJNSFjNhK0SkER-5NVTYBLdww;Медицинская клиника IMMA;http://imma.ru/;5.0;;;;;;;;1563027.0;101033.0;38.0;449.7255325545647;Россия, Москва, Юго-Восточный административный округ, район Марьино;
55.77865920000001;37.5228935;ChIJR44uop9JtUYRDgiM2IdFmd4;Семейная;http://semeynaya.ru/;3.2;0.0;0.0;740.0;264.0;http://semeynaya.ru;51289345.0;156341.0;375625.0;26044.0;185.0;324.11178801738276;Россия, Москва, Северный административный округ, Хорошёвский район;88
55.76320339999999;37.543690000000005;ChIJW9Q1F35JtUYRzOqEscXsDYs;"ФГУЗ ""Центр гигиены и эпидемиологии в городе Москве"" в ЦАО";http://sescao.ru/;4.0;;;;;;;;10968599.0;;10.0;1936.6608225325574;Россия, Москва, Центральный административный округ, Пресненский район;109
55.804054;37.645039000000004;ChIJSclD1Og1tUYR5poWXoBg6Ls;Медицинская клиника IMMA Алексеевская;http://imma.ru/;4.7;;;;;;;;1563027.0;101033.0;38.0;775.3609492565524;Россия, Москва, Северо-Восточный административный округ, Алексеевский район;
55.74969989999999;37.3899412;ChIJ52zzsyJPtUYR9i4TAY82hgA;Медцентр ЦКБ;http://www.cchp.ru/;4.8;;;;;;;;1116611.0;94940.0;117.0;2121.951058895963;Россия, Москва, Западный административный округ, район Кунцево;67
55.734660999999996;37.613443;ChIJFbBFgwZLtUYRh3f65qyRc9g;"ООО ""Центр Коррекции Слуха и Речи ""Мелфон""";http://www.melfon.ru/;4.5;;;;;;;;1839434.0;149392.0;124.0;309.48674708999874;Россия, Москва, Центральный административный округ, район Якиманка;108
55.681869999999996;37.564573100000004;ChIJAdASvOpMtUYR-TlcV-A_hls;Городской фонд ДНК-исследований;http://www.dnk-gf.ru/;2.5;0.3333333333333333;0.4714045207910317;662.0;189.0;http://www.dnk-gf.ru;;;6778034.0;424735.0;21.0;395.78675035238444;Россия, Москва, Юго-Западный административный округ, Академический район;
55.718667;37.625119899999994;ChIJf9GM7hVLtUYRNqvk047KBTE;Московский областной консультативно-диагностический центр» для детей;http://mokdcd.ru/;2.9;0.0;0.0;127.0;77.0;;;;2483097.0;135962.0;26.0;723.5549968288886;Россия, Москва, Южный административный округ, Даниловский район;
55.6699873;37.758770899999995;ChIJR7IFGD-0SkERWm5zzkGOwXc;ОЛИМП, медицинский центр, ЗАО;http://www.mcagape.ru/;4.3;0.4117647058823529;0.4921529567847503;1602.0;417.0;http://mckvt.ru;;;8383689.0;954072.0;87.0;602.1925506848443;Россия, Москва, Юго-Восточный административный округ, район Люблино;
55.743278000000004;37.630520000000004;ChIJO2TkBPxKtUYRLqtNLU_wiH8;Медицинский центр Невро-Мед;http://www.nevromed.ru/;4.2;0.5;0.5;124.0;90.0;;;;553126.0;42664.0;308.0;185.59460467038963;Россия, Москва, Центральный административный округ, район Замоскворечье;111
